Cryptocurrency Name,Symbol,Date,Opening Price (USD),Closing Price (USD),Highest Price (USD),Lowest Price (USD),Market Capitalization (USD),Volume (24h),Total Supply,Price Change (24h%),Price Change (7d%),Blockchain Network,Popularity Rank
Solana,SOL,2022-01-01 00:00:00,43769.88,21838.38,27093.74,47912.35,63667350711.87,465286530.11,227060177.46,8.56,-28.87,Ethereum,40
Stellar,XLM,2022-01-01 01:00:00,19463.18,42921.25,45185.93,2151.52,13448817554.77,462648430.36,492973796.5,31.5,2.26,Cardano,57
Solana,SOL,2022-01-01 02:00:00,28832.2,5764.06,24428.86,48861.44,40557769997.11,173243296.3,981095370.28,-36.67,42.25,Cardano,92
Shiba Inu,SHIB,2022-01-01 03:00:00,9503.59,4364.01,42636.79,26843.28,56580178866.26,774094749.24,335707394.4,30.28,27.81,Cardano,47
Litecoin,LTC,2022-01-01 04:00:00,42714.18,6380.94,42892.42,11086.17,42267842619.46,747350284.31,76568746.77,15.6,-12.9,Binance Smart Chain,79
Dogecoin,DOGE,2022-01-01 05:00:00,7745.21,13974.61,6662.14,4399.18,65914716157.19,796767354.19,837343823.0,-12.96,-0.43,Ethereum,51
Chainlink,LINK,2022-01-01 06:00:00,13115.3,39221.14,29497.23,40455.44,76437286190.85,193097014.4,579409993.01,2.73,34.29,Cardano,56
Polygon,MATIC,2022-01-01 07:00:00,17999.36,5080.85,36378.4,43484.02,31693809525.64,627645964.29,443297159.47,15.24,38.15,Ethereum,31
Chainlink,LINK,2022-01-01 08:00:00,11497.84,6771.83,132.13,6126.08,55567363337.89,971891429.81,44047808.65,0.96,-46.7,Ethereum,25
Avalanche,AVAX,2022-01-01 09:00:00,31077.17,24973.94,25395.45,10748.22,63250894432.72,249596469.43,147578513.23,31.84,-36.39,Binance Smart Chain,60
Avalanche,AVAX,2022-01-01 10:00:00,21057.57,37727.61,14755.97,28558.75,73516123377.11,725743456.72,767268522.43,22.28,19.0,Cardano,92
Polygon,MATIC,2022-01-01 11:00:00,22081.74,26622.14,48291.52,17478.32,21133693181.47,385199231.82,43996483.07,-44.74,-8.5,Ethereum,67
Stellar,XLM,2022-01-01 12:00:00,26269.36,19592.38,47640.76,32581.52,59944741027.33,812401083.61,645065537.21,-8.59,41.03,Cardano,92
Polkadot,DOT,2022-01-01 13:00:00,33647.1,28757.14,10084.67,48475.62,41419998646.63,877674387.21,322875546.76,9.07,-6.81,Binance Smart Chain,7
